name,infrastructure_type,latitude,longitude
Govt hospital (siddha only),hospital,8.3386085,77.8672828
B2 Police Station,police,10.8228204,78.6827289
Dr Venugopals' Sundaram Clini,hospital,13.076782,80.268345
Dr Kabir's Clinic,hospital,13.0768734,80.2678381
Dr Sridhars'Clinic,hospital,13.0764345,80.2672427
,hospital,8.165261,77.6403995
The Eye Foundation,hospital,11.3031429,76.9359938
Suradeep Hospital,hospital,12.6178199,80.1950156
Trafic Police Station,police,12.7279317,77.8270513
Hosur Town Police Station,police,12.7267546,77.827283
Kuzhanthai Sanjeevi Hospital,hospital,8.1749614,77.4271723
Dr. Gopalapillai Jawahar Hospital,hospital,8.1765816,77.4273533
Kottar Government Hospital,hospital,8.1782741,77.4362511
Life Care Hospital,hospital,8.1735067,77.4275679
,police,8.1783299,77.4316465
SP Scan Centre,hospital,8.1823899,77.415691
Muthunayagam Hospital,hospital,8.1801549,77.4201531
Dr. Jayaharan Memorial Hospital,hospital,8.1828595,77.4293245
Police,police,12.6214889,80.1942737
Blind Society Eye Hospital,hospital,11.4110035,76.7107837
Preethi Hospital,hospital,9.947238,78.157954
Meenakshi Mission Hospital,hospital,9.9484837,78.1625426
Agarwal Eye Hospital,hospital,8.7249013,77.7219613
,fire_station,13.0351313,80.2306922
AnnaMalai Hospital,hospital,9.3106751,77.5486151
NMS Hospital,hospital,9.3118398,77.5487224
Sri Vaiyapuri Hospital,hospital,9.3117103,77.5519108
"Government Hospital, Villupuram",hospital,11.9415377,79.4861469
Hari Hospital,hospital,11.9396748,79.4863993
Jaihindpuram Police Station,police,9.9066088,78.1119041
"Goverment medical college & hospital, Villupuram",hospital,11.9933796,79.5174212
"Government Hospital, Aruppukottai",hospital,9.5026116,78.0971038
Virudhunagar Government Hospital ICU Unit,hospital,9.5895875,77.9618521
Senthikumara Nadar Government Hospital,hospital,9.5903105,77.9613532
Thiruvengdam Hospital,hospital,9.5893535,77.9601061
Kamarajar Hospital,hospital,9.5880809,77.952964
City Police HQ,police,9.5565491,77.9453096
